iter	Passed	Remaining
612	3119	1969
613	3123	1963
614	3131	1960
615	3135	1954
616	3139	1948
617	3145	1944
618	3150	1938
619	3153	1933
620	3160	1928
621	3164	1923
622	3168	1917
623	3173	1911
624	3179	1907
625	3183	1902
626	3188	1896
627	3194	1892
628	3198	1886
629	3203	1881
630	3208	1876
631	3212	1870
632	3217	1865
633	3221	1860
634	3228	1855
635	3232	1850
636	3237	1845
637	3243	1840
638	3247	1834
639	3253	1830
640	3259	1825
641	3263	1820
642	3269	1815
643	3276	1811
644	3281	1806
645	3293	1805
646	3300	1800
647	3307	1796
648	3312	1791
649	3317	1786
650	3323	1781
651	3328	1776
652	3332	1770
653	3338	1766
654	3343	1760
655	3347	1755
656	3353	1750
657	3358	1745
658	3362	1739
659	3366	1734
660	3372	1729
661	3378	1724
662	3383	1719
663	3389	1714
664	3393	1709
665	3397	1704
666	3404	1699
667	3409	1694
668	3414	1689
669	3421	1685
670	3426	1680
671	3431	1674
672	3438	1670
673	3443	1665
674	3449	1660
675	3454	1655
676	3458	1650
677	3464	1645
678	3469	1640
679	3474	1634
680	3479	1629
681	3486	1625
682	3490	1620
683	3495	1614
684	3501	1610
685	3506	1605
686	3510	1599
687	3518	1595
688	3538	1597
689	3543	1591
690	3549	1587
691	3554	1582
692	3559	1576
693	3564	1571
694	3569	1566
695	3573	1560
696	3577	1555
697	3584	1550
698	3587	1544
699	3591	1539
700	3597	1534
701	3602	1529
702	3606	1523
703	3610	1518
704	3617	1513
705	3622	1508
706	3628	1503
707	3633	1498
708	3637	1492
709	3642	1487
710	3648	1482
711	3652	1477
712	3657	1472
713	3663	1467
714	3667	1461
715	3672	1456
716	3678	1451
717	3682	1446
718	3687	1441
719	3694	1436
720	3698	1431
721	3702	1425
722	3706	1420
723	3712	1415
724	3717	1409
725	3721	1404
726	3727	1399
727	3731	1394
728	3735	1388
729	3742	1384
730	3747	1378
731	3751	1373
732	3756	1368
733	3762	1363
734	3767	1358
735	3773	1353
736	3777	1348
737	3781	1342
738	3785	1336
739	3792	1332
740	3796	1327
741	3800	1321
742	3808	1317
743	3812	1311
744	3816	1306
745	3822	1301
746	3827	1296
747	3831	1290
748	3836	1285
749	3841	1280
750	3846	1275
751	3852	1270
752	3857	1265
753	3861	1259
754	3867	1254
755	3872	1249
756	3876	1244
757	3882	1239
758	3887	1234
759	3892	1229
760	3897	1224
761	3904	1219
762	3908	1214
763	3912	1208
764	3918	1203
765	3922	1198
766	3926	1192
767	3931	1187
768	3936	1182
769	3940	1176
770	3943	1171
771	3949	1166
772	3954	1161
773	3958	1155
774	3962	1150
775	3967	1145
776	3971	1139
777	3975	1134
778	3981	1129
779	3985	1124
780	3989	1118
781	3993	1113
782	4000	1108
783	4003	1103
784	4007	1097
785	4013	1092
786	4017	1087
787	4022	1082
788	4026	1076
789	4032	1071
790	4036	1066
791	4041	1061
792	4048	1056
793	4052	1051
794	4058	1046
795	4064	1041
796	4068	1036
797	4073	1031
798	4080	1026
799	4085	1021
800	4098	1018
801	4104	1013
802	4112	1008
803	4117	1003
804	4122	998
805	4127	993
806	4132	988
807	4136	983
808	4145	978
809	4149	973
810	4154	968
811	4160	963
812	4165	958
813	4169	952
814	4174	947
815	4179	942
816	4183	937
817	4188	931
818	4194	927
819	4199	921
820	4203	916
821	4210	911
822	4215	906
823	4219	901
824	4226	896
825	4231	891
826	4236	886
827	4242	881
828	4248	876
829	4255	871
830	4260	866
831	4266	861
832	4271	856
833	4277	851
834	4282	846
835	4289	841
836	4294	836
837	4299	831
838	4305	826
839	4311	821
840	4315	815
841	4322	811
842	4326	805
843	4330	800
844	4336	795
845	4341	790
846	4346	785
847	4350	779
848	4356	774
849	4360	769
850	4364	764
851	4371	759
852	4376	754
853	4380	748
854	4395	745
855	4401	740
856	4406	735
857	4410	729
858	4413	724
859	4419	719
860	4423	714
861	4428	708
862	4434	703
863	4439	698
864	4444	693
865	4450	688
866	4454	683
867	4459	678
868	4465	673
869	4470	668
870	4476	662
871	4483	658
872	4488	652
873	4494	647
874	4501	643
875	4506	637
876	4511	632
877	4517	627
878	4522	622
879	4526	617
880	4534	612
881	4538	607
882	4543	601
883	4549	597
884	4554	591
885	4558	586
886	4564	581
887	4569	576
888	4573	571
889	4579	565
890	4584	560
891	4588	555
892	4593	550
893	4599	545
894	4603	540
895	4608	534
896	4613	529
897	4617	524
898	4621	519
899	4627	514
900	4631	508
901	4635	503
902	4640	498
903	4645	493
904	4649	488
905	4654	482
906	4661	477
907	4665	472
908	4670	467
909	4676	462
910	4680	457
911	4684	452
912	4690	446
913	4695	441
914	4699	436
915	4706	431
916	4710	426
917	4715	421
918	4719	416
919	4725	410
920	4729	405
921	4733	400
922	4739	395
923	4744	390
924	4748	384
925	4751	379
926	4757	374
927	4761	369
928	4765	364
929	4771	359
930	4775	353
931	4779	348
932	4783	343
933	4789	338
934	4793	333
935	4797	328
936	4803	322
937	4808	317
